time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,1246,142,611,206
2026-05-06 00:00:00+00:00,860,136,626,202
2026-05-07 00:00:00+00:00,778,142,619,193
2026-05-08 00:00:00+00:00,677,150,842,238
2026-05-09 00:00:00+00:00,414,92,637,178
2026-05-10 00:00:00+00:00,350,93,782,238
2026-05-11 00:00:00+00:00,579,155,806,262
2026-05-12 00:00:00+00:00,657,214,822,278
2026-05-13 00:00:00+00:00,552,193,994,360
2026-05-14 00:00:00+00:00,805,242,1077,383
2026-05-15 00:00:00+00:00,844,239,1138,387
2026-05-16 00:00:00+00:00,1116,278,1268,402
2026-05-17 00:00:00+00:00,452,179,1247,397
2026-05-18 00:00:00+00:00,1011,204,1355,391
