time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,266,58,639,150
2026-04-18 00:00:00+00:00,533,121,772,146
2026-04-19 00:00:00+00:00,942,181,1051,205
2026-04-20 00:00:00+00:00,672,143,1149,240
2026-04-21 00:00:00+00:00,705,207,1288,389
2026-04-22 00:00:00+00:00,1388,321,1335,295
2026-04-23 00:00:00+00:00,1464,361,1051,209
2026-04-24 00:00:00+00:00,1462,360,966,198
2026-04-25 00:00:00+00:00,939,239,723,146
2026-04-26 00:00:00+00:00,800,112,611,148
2026-04-27 00:00:00+00:00,599,101,783,194
2026-04-28 00:00:00+00:00,550,116,756,177
2026-04-29 00:00:00+00:00,922,178,609,148
2026-04-30 00:00:00+00:00,409,125,624,149
